Speaker,Utterance,Dialogue_Act,Dialogue_ID,File_ID
g,okay the start part is at the top left-hand corner,instruct,0,q7nc7
f,uh-huh,acknowledge,0,q7nc7
g,okay,align,0,q7nc7
f,uh-huh,reply_y,0,q7nc7
g,ehm you're coming the s-- for three inches down below that,instruct,0,q7nc7
g,do you have a diamond mine there,query_yn,0,q7nc7
f,yeah right,reply_y,0,q7nc7
f,on the right-hand side roughly just,check,0,q7nc7
g,okay,acknowledge,0,q7nc7
g,uh-huh,reply_y,0,q7nc7
f,right down there,check,0,q7nc7
g,right beside it,clarify,0,q7nc7
g,you just go straight down underneath it,instruct,0,q7nc7
f,right okay oops that was,acknowledge,0,q7nc7
g,do you have a graveyard just along from the diamond mine,query_yn,0,q7nc7
f,no,reply_n,0,q7nc7
f,i've got a gallows to the left like d-- below the left,explain,0,q7nc7
g,no,reply_n,0,q7nc7
g,no,reply_n,0,q7nc7
g,just ignore that,instruct,0,q7nc7
f,right okay,acknowledge,0,q7nc7
g,do you have carved stones,query_yn,0,q7nc7
f,oh no i have got a gold mine but it's it's a it's a good bit below that,explain,0,q7nc7
g,sorry no,reply_n,0,q7nc7
g,i said a graveyard,explain,0,q7nc7
f,oh sorry,acknowledge,0,q7nc7
f,no oh no i s-- d--,reply_n,0,q7nc7
g,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it,explain,0,q7nc7
g,okay,align,0,q7nc7
f,no i haven't got that,reply_w,0,q7nc7
g,well,ready,0,q7nc7
f,okay,acknowledge,0,q7nc7
g,so come along to about mm about five six inches anyway straight along to the right,instruct,0,q7nc7
f,underneath the diamond mine,check,0,q7nc7
g,underneath the diamond mine,reply_y,0,q7nc7
f,right,ready,0,q7nc7
f,how far underneath the diamond mine,query_w,0,q7nc7
g,it's about an inch or so,reply_w,0,q7nc7
f,right okay five inches right along,acknowledge,0,q7nc7
f,up along to near a r-- a ravine stuff thing,query_yn,0,q7nc7
g,no i don't have the ravine,reply_w,0,q7nc7
f,i've got,explain,0,q7nc7
g,do you have carved stones,query_yn,0,q7nc7
f,i've got carved stones,reply_y,0,q7nc7
f,and then indian country,explain,0,q7nc7
g,yeah down below it,acknowledge,0,q7nc7
